CODIGO;FUNCAO;GFM
288;CAIXA EXECUTIVO;0
394;CAIXA EXECUTIVO;0
610;ESCRITURARIO;0
649;SAC-CONTINUO;0
674;SAC-VIGILANTE;0
678;SAD-AUX.S.SAUD;0
998;Q.S. LIC.SAUDE;0
999;EXTRA QUADRO;0
2621;BSC GER.AD.AGGP;0
2802;BSC ASS.ADM.I;0
2805;BSC ASS.ADM.II;0
2812;BSC TC.S.BAN.I;0
2816;BSC AN.ORG.MET.;0
2822;BSC TC.S.BAN.II;0
2830;BSC T.S.BAN.III;0
2831;BEP ESCRITURAR.;0
2832;BEP AUX.S.BANC.;0
2834;BEP CONTINUO;0
2835;BEP TC.BAN.DES.;0
2845;BEP RECEPCION.;0
4005;AUDITOR GERAL;1
4007;GER GERAL UE;1
4008;GER GERAL UE;1
4051;GER GERAL UA;8
4052;GER GERAL UA;8
4053;GER GERAL UA;8
4082;GER GERAL UA;9
4083;GER GERAL UA;9
4232;GER NEG DIGITAIS EXT;3
4236;GER TECNOLOGIA EXT;3
4237;GER ADJ TECNOL EXT;5
4238;GER AUDITORIA EXT;3
4239;GER ADJ AUDIT EXT;5
4248;GER GERAL UN;6
4249;GER GERAL UN;6
4250;GER GERAL UN;6
4253;GER GERAL UN;8
4255;GER GERAL UN;8
4256;GER GERAL UN;8
4262;GER GERAL UN;9
4263;GER GERAL UN;9
4269;GER GERAL UN;10
4270;GER GERAL UN;13
4322;GEREN SEGURANCA EXT;3
4323;GER GERAL UN EXT;3
4324;GER GERAL UN EXT;3
4609;GER ADJ UN EXT;5
4687;GER RELACIONAMENTO;17
4688;GER RELACIONAMENTO;17
4689;GER SERVICOS;18
4690;GER SERVICOS;18
4695;GER RELACIONAMENTO;16
4700;GER MODULO;18
4705;GER RELACIONAMENTO;18
4805;ANALISTA A UA;16
4807;AN.JUR.A UA;16
4808;ANALISTA FIN.UA;18
4830;ANALISTA CR;18
4860;ANALISTA B UA;18
4862;AN.JUR.B UA;16
4935;ASSIST.A UA;19
4940;ASSIST.A UN;19
4942;ASSIST.A UN;19
4960;ASSIST.B UA;20
4961;ASSIST.B UA;20
4965;ASSIST.B UN;20
4980;GER SEGMENTO;15
5638;BNC CAIXA PRE;0
5641;BNC AUX ADMIN;0
5700;BNC AUX SER GER;0
5822;INC GER SEG UN;0
5838;INC CAIXA PRE;0
6000;AUX ENF TRAB;19
6001;ENFERM TRAB;17
