cod;inic_vigenc;fim_vigenc;abf_mensal;vlr_atfc;vlr_dm;mult_adic;vr
1;09/2022;99/9999;10392.76;6452.01;0;0.00934;78982.05
2;09/2022;99/9999;10392.78;6452.01;0;0.00934;71164.17
3;09/2022;99/9999;10392.78;6452.01;0;0.00934;60606.35
4;09/2022;99/9999;10392.78;6452.01;0;0.00934;60606.35
5;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
6;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
7;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
8;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
9;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
10;09/2022;99/9999;10392.78;6452.01;0;0.00934;50832.96
11;09/2022;99/9999;9741.3;5174.16;0;0.00837;46140.21
12;09/2022;99/9999;9741.3;5174.16;0;0.00837;46140.21
13;09/2022;99/9999;10392.78;6452.01;0;0.00837;50832.96
14;09/2022;99/9999;9741.3;5174.16;0;0.00837;46140.21
15;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
16;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
17;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
18;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
19;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
20;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
21;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
22;09/2022;99/9999;8189.63;1106.96;0;0.00602;21977.79
23;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
24;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
25;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
26;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
27;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
28;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
29;09/2022;99/9999;6321.4;774.49;0;0.00483;16034.34
30;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
31;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
32;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
33;09/2022;99/9999;5796.34;320.65;0;0.00433;15251.19
34;09/2022;99/9999;4891.13;151.49;0;0.00388;11576.71
35;09/2022;99/9999;3645.1;379.27;0;0.00348;10558.43
36;09/2022;99/9999;3645.1;379.27;0;0.00348;10558.43
37;09/2022;99/9999;3645.1;379.27;0;0.00348;10558.43
38;09/2022;99/9999;4451.49;249.46;0;0.00348;10558.43
39;09/2022;99/9999;2373.09;0;0;0.00348;7237.66
40;09/2022;99/9999;2373.09;0;0;0.00348;7237.66
41;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
42;09/2022;99/9999;2373.09;0;0;0.00348;7237.66
43;09/2022;99/9999;2282.66;0;0;0.00312;6684.34
44;09/2022;99/9999;1977.85;0;0;0.00279;6087.42
45;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
46;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
47;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
48;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
49;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
50;09/2022;99/9999;4451.49;379.27;0;0.00388;10558.43
51;09/2022;99/9999;3645.1;249.46;0;0.00279;8761.05
52;09/2022;99/9999;3645.1;379.27;0;0.00348;10558.43
53;09/2022;99/9999;4891.13;496.52;0;0.00433;13688.28
54;09/2022;99/9999;10033.56;5329.08;0;0.00837;30215.69
55;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
56;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
57;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
58;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
59;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
60;09/2022;99/9999;8189.63;1106.96;0;0.00483;21977.79
61;09/2022;99/9999;8189.63;1106.96;0;0.00483;21977.79
62;09/2022;99/9999;8189.63;1106.96;0;0.00483;21977.79
63;09/2022;99/9999;9178.56;4562.04;0;0.00602;28161.06
64;09/2022;99/9999;9178.56;4562.04;0;0.00602;28161.06
65;09/2022;99/9999;9178.56;4562.04;0;0.00602;28161.06
66;09/2022;99/9999;9178.56;4562.04;0;0.00602;28161.06
67;09/2022;99/9999;8667.75;3804.2;0;0.0054;26200.88
68;09/2022;99/9999;8667.75;3804.2;0;0.0054;26200.88
69;09/2022;99/9999;8189.63;1106.96;0;0.00483;21977.79
70;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
71;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
72;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
73;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
74;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
75;09/2022;99/9999;6321.4;137.26;0;0.00483;17833.04
76;09/2022;99/9999;6321.4;137.26;0;0.00483;17833.04
77;09/2022;99/9999;6321.4;137.26;0;0.00483;17833.04
78;09/2022;99/9999;6321.4;137.26;0;0.00483;17833.04
79;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
80;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
81;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
82;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
83;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
84;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
85;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
86;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
87;09/2022;99/9999;7127.81;211.8;0;0.00602;20140.19
88;09/2022;99/9999;7127.81;211.8;0;0.00602;20140.19
89;09/2022;99/9999;7127.81;211.8;0;0.00602;20140.19
90;09/2022;99/9999;7127.81;211.8;0;0.00602;23176.93
91;09/2022;99/9999;7127.81;211.8;0;0.00602;20140.19
92;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
93;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
94;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
95;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
96;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
97;09/2022;99/9999;6321.4;137.26;0;0.0054;17989.78
98;09/2022;99/9999;5796.34;76.13;0;0.00483;15644.44
99;09/2022;99/9999;5796.34;76.13;0;0.00483;15644.44
100;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
101;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
102;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
103;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
104;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
105;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
106;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
107;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
108;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
109;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
110;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
111;09/2022;99/9999;9741.3;5174.16;0;0.00837;0
112;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
113;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
114;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
115;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
116;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
117;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
118;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
119;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
120;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
121;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
122;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
123;09/2022;99/9999;8189.63;2815.26;0;0.00602;23462.97
124;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
125;09/2022;99/9999;8189.63;2815.26;0;0.00602;23462.97
126;09/2022;99/9999;8189.63;2815.26;0;0.00602;23462.97
127;09/2022;99/9999;2128.86;0;0;0.0054;17031.25
128;09/2022;99/9999;8189.63;2815.26;0;0.00602;23462.97
129;09/2022;99/9999;8189.63;2815.26;0;0.00602;23462.97
130;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
131;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
132;09/2022;99/9999;8667.75;3804.2;0;0.00672;0
133;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
134;09/2022;99/9999;8667.75;3804.2;0;0.00672;0
135;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
136;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
137;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
138;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
139;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
140;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
141;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
142;09/2022;99/9999;7127.81;1677.23;0;0.0054;20335.86
143;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
144;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
145;09/2022;99/9999;8189.63;1106.96;0;0.00602;21977.79
146;09/2022;99/9999;6321.4;774.49;0;0.00483;16034.34
147;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
148;09/2022;99/9999;4891.13;496.52;0;0.00388;11576.71
149;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
150;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
151;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
152;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
153;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
154;09/2022;99/9999;7127.81;945.33;0;0.0054;19553.38
155;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
156;09/2022;99/9999;5277.15;518.27;0;0.00433;13688.28
157;09/2022;99/9999;4846.78;195.87;0;0.00388;11576.71
158;09/2022;99/9999;3671.02;356.67;0;0.00348;10558.43
159;09/2022;99/9999;5796.34;566.02;0;0.00433;14861.28
160;09/2022;99/9999;5796.34;76.13;0;0.00483;18769.57
161;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
162;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
163;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
164;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
165;09/2022;99/9999;6321.4;774.49;0;0.00483;16034.34
166;09/2022;99/9999;6321.4;774.49;0;0.00483;16034.34
167;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
168;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
169;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
170;09/2022;99/9999;5796.34;320.65;0;0.00433;15251.19
171;09/2022;99/9999;5796.34;272.92;0;0.00433;13688.28
172;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
173;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
174;09/2022;99/9999;8667.75;3804.2;0;0.00672;31063.81
175;09/2022;99/9999;4891.13;496.52;0;0.00388;11576.71
176;09/2022;99/9999;4891.13;151.49;0;0.00388;11576.71
177;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
178;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
179;09/2022;99/9999;8189.63;1106.96;0;0.00602;21977.79
180;09/2022;99/9999;2373.09;0;0;0.00348;7237.66
181;09/2022;99/9999;8189.63;1106.96;0;0.00602;21977.79
182;09/2022;99/9999;2373.09;0;0;0.00348;7237.66
183;09/2022;99/9999;1977.85;0;0;0.00279;6087.42
184;09/2022;99/9999;1111.97;0;0;0.00224;0
185;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
186;09/2022;99/9999;8667.75;3804.2;0;0.00672;26200.88
187;09/2022;99/9999;8189.63;1106.96;0;0.00602;23462.97
188;09/2022;99/9999;2628.49;254.51;0;0.0025;6087.42
189;09/2022;99/9999;7370.64;2537.25;0;0.00602;23462.97
190;09/2022;99/9999;9178.56;4562.04;0;0.0075;34852.83
191;09/2022;99/9999;8189.63;2815.26;0;0.00602;31674.77
192;09/2022;99/9999;9178.56;4562.04;0;0.0075;34852.83
193;09/2022;99/9999;8189.63;2815.26;0;0.00602;31674.77
194;09/2022;99/9999;9178.56;4562.04;0;0.0075;0
195;09/2022;99/9999;8189.63;2815.26;0;0.00602;0
196;09/2022;99/9999;8189.63;2815.26;0;0.00602;31674.77
197;09/2022;99/9999;9178.56;4562.04;0;0.0075;34852.83
199;09/2022;99/9999;9741.3;5174.16;0;0.00837;46140.21
200;09/2022;99/9999;9178.56;4562.04;0;0.0075;0
201;09/2022;99/9999;8667.75;3804.2;0;0.00672;0
202;09/2022;99/9999;8189.63;2815.26;0;0.00602;0
203;09/2022;99/9999;7127.81;1677.23;0;0.0054;0
204;09/2022;99/9999;8329.47;130.58;0;0.00602;0
205;09/2022;99/9999;7249.22;215.15;0;0.0054;0
206;09/2022;99/9999;6429.45;139.75;0;0.00483;0
207;09/2022;99/9999;5896.01;77.82;0;0.00433;0
208;09/2022;99/9999;10392.78;6452.01;0;0.00934;31280.21
209;09/2022;99/9999;9741.3;5174.16;0;0.00837;29335.45
210;09/2022;99/9999;8189.63;2572.41;0;0.00602;0
211;09/2022;99/9999;6429.45;538.38;0;0.00483;0
212;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
213;09/2022;99/9999;9178.56;4562.04;0;0.0075;28161.06
