codigo,idade,departamento,escolaridade,sexo,nivel,funcao,est_civil,salario,horas_trab,total_tempo_trab,cursos_ultimo_ano,tempo_empresa,tempo_funcao,ultima_promocao,tempo_gerente_atual,deixou_a_empresa
1,41,Vendas,2,F,2,Executivo de Vendas,Solteiro(a),5993,80,8,0,6,4,0,5,S
2,49,P&D,1,M,2,Pesquisador,Casado(a),5130,80,10,3,10,7,1,7,N
4,37,P&D,2,M,1,Tecnico de Laboratorio,Solteiro(a),2090,80,7,3,0,0,0,0,S
5,33,P&D,4,F,1,Pesquisador,Casado(a),2909,80,8,3,8,7,3,0,N
7,27,P&D,1,M,1,Tecnico de Laboratorio,Casado(a),3468,80,6,3,2,2,2,2,N
8,32,P&D,2,M,1,Tecnico de Laboratorio,Solteiro(a),3068,80,8,2,7,7,3,6,N
10,59,P&D,3,F,1,Tecnico de Laboratorio,Casado(a),2670,80,12,3,1,0,0,0,N
11,30,P&D,1,M,1,Tecnico de Laboratorio,Divorviado(a),2693,80,1,2,1,0,0,0,N
12,38,P&D,3,M,3,Diretor de Manufatura,Solteiro(a),9526,80,10,2,9,7,1,8,N
13,36,P&D,3,M,2,Representante de Saude,Casado(a),5237,80,17,3,7,7,7,7,N
14,35,P&D,3,M,1,Tecnico de Laboratorio,Casado(a),2426,80,6,5,5,4,0,3,N
15,29,P&D,2,F,2,Tecnico de Laboratorio,Solteiro(a),4193,80,10,3,9,5,0,8,N
16,31,P&D,1,M,1,Pesquisador,Divorviado(a),2911,80,5,1,5,2,4,3,N
18,34,P&D,2,M,1,Tecnico de Laboratorio,Divorviado(a),2661,80,3,2,2,2,1,2,N
19,28,P&D,3,M,1,Tecnico de Laboratorio,Solteiro(a),2028,80,6,4,4,2,0,3,S
20,29,P&D,4,F,3,Diretor de Manufatura,Divorviado(a),9980,80,10,1,10,9,8,8,N
21,32,P&D,2,M,1,Pesquisador,Divorviado(a),3298,80,7,5,6,2,0,5,N
22,22,P&D,2,M,1,Tecnico de Laboratorio,Divorviado(a),2935,80,1,2,1,0,0,0,N
23,53,Vendas,4,F,4,Gerente,Casado(a),15427,80,31,3,25,8,3,7,N
24,38,P&D,3,M,1,Pesquisador,Solteiro(a),3944,80,6,3,3,2,1,2,N
26,24,P&D,2,F,2,Diretor de Manufatura,Divorviado(a),4011,80,5,5,4,2,1,3,N
27,36,Vendas,4,M,1,Representante de Vendas,Solteiro(a),3407,80,10,4,5,3,0,3,S
28,34,P&D,4,F,3,Diretor de Pesquisa,Solteiro(a),11994,80,13,4,12,6,2,11,N
