CD_UOR;CD_PRF;NM_UOR_RED;CD_SBDD;CD_MUN;SG_UF;CD_UOR_JRDT
f8c84522811ab80c6b11873d9fa38e20;9327969053c0068dd9e07c529866b94d;9df0b9a86f89d3e2c1237b1cb1797219;0;NULL;EX;f8c84522811ab80c6b11873d9fa38e20
dc4eede4a4c7cc9e6fdbb36d5b04c372;a35fe7f7fe8217b4369a0af4244d1fca;c9708ea1ee3da36dbf35409770fb756c;0;NULL;NULL;dc4eede4a4c7cc9e6fdbb36d5b04c372
64b0a7e11a467063ff3fa8d3bdf661e1;be6ad8761fe4eb9bb85934a2d21686bb;0d1982a8cfc0a360565b2d0779c7c817;0;2000;DF;64b0a7e11a467063ff3fa8d3bdf661e1
c525c5b4aeee6eafd496d0d0cc424ced;12b668a1ada1828ba795332f419d4ef7;a7397d378e24feeffa78767586b8cfd5;0;NULL;NULL;c525c5b4aeee6eafd496d0d0cc424ced
441db0432de328365adeae37fbee3920;98c56bce74669e2e4e7a9fc1caa8c326;61f88546bf02be3c0ce5f12c702cea0f;0;NULL;NULL;441db0432de328365adeae37fbee3920
2f93b699c738691d0b53d82ed1e25817;675f9820626f5bc0afb47b57890b466e;6409db578c2dc130a55744cf5126735a;0;2000;DF;441db0432de328365adeae37fbee3920
9831384e2ed3938f00b8fb98b3424649;6e66329891cbb9adb1966e44379cfadf;50234d85e6212901084b7a530207b6c9;0;2000;DF;9831384e2ed3938f00b8fb98b3424649
c8cc6e90ccbff44c9cee23611711cdc4;cfa5301358b9fcbe7aa45b1ceea088c6;b7a51e894e7f5219314c99dc61d444f7;0;2000;DF;9b20ac4d9a8059cae3c7c4733bbc40a3
d7c6beba6c2283f4ef1e8cc43783f320;f5ac21cd0ef1b88e9848571aeb53551a;f2c69f54b561dfe700c4c0a795182e49;0;NULL;NULL;9b20ac4d9a8059cae3c7c4733bbc40a3
9b20ac4d9a8059cae3c7c4733bbc40a3;91bc333f6967019ac47b49ca0f2fa757;52c7582208acd115665bd3c7f95d88e6;0;NULL;NULL;9b20ac4d9a8059cae3c7c4733bbc40a3
ccf496c9b493d05362e3b602d69775c0;f4d0e2e7fc057a58f7ca4a391f01940a;03773b169dcc11870d0d8357ebd2e487;0;2000;DF;ccf496c9b493d05362e3b602d69775c0
6a62253c673325a7be239b84a9f879d2;6074c6aa3488f3c2dddff2a7ca821aab;ae45769659651f326cbf54769e543d05;0;NULL;NULL;6a62253c673325a7be239b84a9f879d2
e49d6912cc703f6e84c19a3a58492b9f;2d13dd919b0ec4519c4a0967c4c7cd47;a74dd9df93986df659038596848636de;0;NULL;NULL;e49d6912cc703f6e84c19a3a58492b9f
bd97d45d577a3870b66233f261c60ba2;c68bd9055776bf38d8fc43c0ed283678;628e17e19bc798d60b7cbea71f224be3;0;2000;DF;bd97d45d577a3870b66233f261c60ba2
92fd79ada7ac5803c79b9bd287492312;ea20aed6df7caa746052d227d194a395;bce9911a6e9e3806f791e8461a57fbf7;0;37200;GO;bd97d45d577a3870b66233f261c60ba2
52c64c72294407663e6f654f467bef53;9b644ca9f37e3699ddf2055800130aa9;c8a38e3b9ed88ac8cde1308061dc7eb5;0;13800;MG;bd97d45d577a3870b66233f261c60ba2
65b22292b232047ac742de249504db02;b3592b0702998592368d3b4d4c45873a;f4d50edba2bbf111aaa280840dc6e06c;0;29900;PR;bd97d45d577a3870b66233f261c60ba2
9f66a575a6cfaaf7e43177317461d057;db5bdc8ad46ab6087d9cdfd8a8662ddf;684d0148dd02e56b0a0a2b14ea18bf45;0;75600;PE;bd97d45d577a3870b66233f261c60ba2
772cf17cfbe478b49a62fc40c42fec68;0d82627e10660af39ea7eb69c3568955;ddb0b86016f5cadf558b61890cc8a748;0;2000;DF;bd97d45d577a3870b66233f261c60ba2
ff5f900bac84c058978c6b16f895131f;706bf9581a8f1747195e5c190835a9bc;e5e59340f759ce0bec2e087fb6dd663d;0;86900;SP;bd97d45d577a3870b66233f261c60ba2
69ceed2a4ffe2ae23f8abf71d534a4bd;1fb36c4ccf88f7e67ead155496f02338;2af98764e891f6acedb5216baa4a8754;0;2000;DF;bd97d45d577a3870b66233f261c60ba2
af141196b05c7fe6f8d290c41aa63f96;4fdbe57fbc8d940f3492416c169b0073;ff818f9fb6f26e819d484f6eacc7d3a9;0;2000;DF;bd97d45d577a3870b66233f261c60ba2
