CD_AGRUP_PRC,NM_AGRUP_PRC
1,OPERAÇÕES
2,"SERVIÇOS JUDICIAIS"
3,DRS
4,CADASTRO
5,ATNC
6,FISCALIZAÇÃO
7,"SERVIÇOS DIVERSOS"
8,"BANCO POSTAL"
9,"CRÉDITO IMOBILIÁRIO"
10,"OPERAÇÕES BNDES"
11,"OPERAÇÕES RISCO UNIÃO"
12,"CADASTRO BANCO NOSSA CAIXA"
13,"CADASTRO FOPAG"
14,"ANOTAÇÃO CADASTRAL"
15,PROAGRO
16,CONFORMIDADE
17,"ATENDIMENTO JURÍDICO"
19,"ABERTURA DE CONTAS"
20,CRÉDITO
21,"MPO MOVERA"
22,"BB MIAMI - ATUAL. CADASTRAL"
23,"CORRESPONDENTE BANCÁRIO"
24,"SERVIÇOS TERCEIRIZADOS"
25,"RECUPERAÇÃO DE CRÉDITO"
26,"AVALIAÇÃO BENS E EMPREENDIMENT"
27,"TRANSPORTE DE VALORES"
28,"ASSESSORIA ESPECIALIZADA"
29,CONTRATAÇÃO
30,"ENGENHARIA CRÉDITO IMOBILIÁRIO"
31,"FRENTE AJUIZAMENTO"
32,"CADASTRO PF"
34,AÇÕES
35,"DEPÓSITO JUDICIAL"
36,"FECHAMENTO DE BALANCETE"
37,CDC
39,ISSQN
40,CONTÁBIL
41,FUNCIONALISMO
42,"SERVIÇOS ESPECIALIZADOS"
43,"ARQUIVO DE DOCUMENTOS"
45,"FaleCom Assessoria"
46,"TESTE ABERTURA API"
47,ASSESSORIA
48,"CRÉDITO ESTRUTURADO"
49,"SOLUÇÃO DE DÍVIDAS"
50,"COMEX - CÂMBIO PF"
51,INTERBANCÁRIO
52,"APOIO INTERBANCÁRIO"
53,"SERVIÇOS DIGITAIS"
54,"GS ALV LEVANTAR ALVARÁ"
55,"GS CREDITO"
56,"COMEX - SERVIÇOS"
57,"GS AJZ AJUIZAR"
58,"GS SUB SUBSÍDIOS JUD"
59,"GS NPJ COMPLEM NPJ"
60,"GS ACJ CUMPRIMENTO ACORDO"
61,"GS HAB HABILITAR"
62,"GS PCL PARCELA"
63,"GS AVL AVALIAR BENS"
64,"GS BXG BAIXAR GRAVAMES"
65,"GS CTB CONTABILIZAR"
66,"GS EST ESTUDAR"
67,"GS FML FORMALIZAR"
68,"GS PSQ SOLICITAR CERTIDÕES"
69,"GS CAD ATUALIZAR CADASTRO"
70,"GS CLC CALCULAR"
71,"GS EXT DEMONSTRATIVOS"
72,"GS RAC RECALC. ANOT. CADASTRAL"
73,"GS TRF DISPONIBILIZAR DOCUMENT"
74,"GS TBN TRATAR BNU"
75,"GS BLQ BLOQUEAR OPERAÇÕES"
76,"GS CCI COBRAR CRÉD IMOBILIÁRIO"
77,"GS CND CONDUZIR OPERAÇÕES"
78,"GS RJF RECUPERAÇÃO JUDICIAL/FA"
79,"GS DOC DISPONIBILIZAR DOCUMENT"
80,"GESTAO CONVENIOS CDC"
81,"COMEX - CÂMBIO PJ"
82,"ATENDIMENTO PARAGUAI"
83,"COMEX - CRÉDITO"
84,"CONSÓRCIO (DIOPE)"
85,"COMEX - CONTROLES"
86,"COMEX - ATENDIMENTO"
87,"INTERNACIONAL - BANQUEIRO"
88,"INTERNACIONAL - CODEX DIA"
89,"INTERNACIONAL - CODEX MES"
90,"CANAIS DE ATENDIMENTO"
91,DOC
92,TED
93,PIX
94,"LOJAS BB"
95,"CAPAC. OPERACIONAL PSV VALORES"
96,"RECEBIMENTO ORDEM DO EXTERIOR"
97,"INTERNACIONAL - LCR"
98,"INTERNACIONAL - C.I.M.A"
99,"CONTA CORRENTE"
100,"INTERNACIONAL - RUBRICAS"
101,"SERVIÇOS FIDUCIÁRIOS"
102,"INTERNACIONAL - REC. CONT."
103,"INTERNACIONAL - LANC. CONT"
104,"ATACADO - CADASTRO"
105,"ATACADO - CADASTRO"
106,"CÂMBIO PF - ATENDIMENTO"
107,AUTOMAÇÃO/TI
108,"TRANSPORTE VALORES"
109,"ATACADO - EGT"
110,"ATACADO - CTR"
111,"ATACADO - PROD E SERV"
112,"ATACADO - CONTABIL"
113,"ATACADO - AGRONEGOCIO"
114,"ATACADO - FUNDOS"
115,"ATACADO - GARANTIAS"
116,"ATACADO - CAPITAL DE GIRO"
117,"ATACADO - INVESTIMENTO"
118,"ATACADO - OUTROS"
119,"ATACADO - TETO OPERACIONAL"
120,"ATACADO - GECOR"
121,CONSORCIO
124,"AGÊNCIAS - ASSESSORAMENTO"
125,"PSO REMOTO"
126,"ATACADO - GIRO"
127,"COMEX - SECEX"
128,"COMEX - REB"
129,"CARTÕES - CECAR"
130,"ACP RURAL PLANO COLLOR"
131,"SERVIÇOS TÉCNICOS"
132,"CDC VEÍCULOS"
133,"COMEX - DIRGE"
134,"ATACADO - ASSESSORIA"
135,"ATACADO - CONDUCAO"
136,"ATACADO - ESTRUTURADA"
137,"ATACADO - COMEX"
138,"SOLUÇÃO ADMINISTRATIVA	"
139,"INTERNACIONAL - LC BBNY"
140,"COMEX - CAM"
141,"INTERNACIONAL - TPR"
142,"INTERNACIONAL - F.R.A."
143,E-MAIL
144,"BB CONSÓRCIOS 4122"
145,"LICENÇA SAÚDE"
146,"CONVÊNIO NÃO CONSIGNADO"
147,"INTERNACIONAL - SEST/SIEST"
148,"INTERNACIONAL - POSIÇÃO TAA"
149,"INTERNACIONAL - SECURITIES"
150,"INTERNACIONAL - OPERAÇÕES"
151,"TESTE ABERTURA API 2"
152,"TESTE ABERTURA API 3"
153,SPB
154,DETRAN
155,"BB ASSET 8594"
156,"GECOR SERVIÇOS"
157,"COMEX - CTR"
158,"SETOR PUBLICO"
159,"COMEX - CONSULTORIA"
160,"COMEX - DIRF"
161,"FALSIDADE IDEOLÓGICA"
162,GERAG
163,"TRATAMENTO DE IMAGENS"
164,"GEINF - SERVIÇOS DE TI (DIOPE)"
165,"COMPE - PARTICIPANTE"
166,"ATACADO - IFNB"
167,ATNI
168,HORUS
169,"CENOP MALOTE"
170,COBRANÇA
171,"INTERNACIONAL - FECHAM. DO MÊS"
172,"INTERNACIONAL - CONTROLES"
173,"INTERNACIONAL - CASHFLOW"
174,"INTERNACIONAL - FINANCEIRO"
175,"INTERNACIONAL - COMERCIAL"
176,"INTERNACIONAL - CARTEIRA TVM"
177,"INTERNACIONAL - PAGAMENTOS"
178,"INTERNACIONAL - INFORMAÇÕES"
179,"ATACADO - CONSORCIO"
180,"INTERNACIONAL - PCNBB"
181,"COBRANÇA BANCÁRIA"
182,"MODELAGEM ABSORÇÃO "
183,"RCO PORTABILIDADE"
184,"CADASTRAMENTO DE CONVÊNIOS"
185,"TRATAMENTO FUNDOS GOVERNO"
186,"ATACADO - PCO"
187,"PSV REMOTO"
188,"REGULARIDADE CNPJ"
189,ARRECADAÇÃO
190,"AÇÕES CUSTODIADAS"
191,"CARTEIRA BB"
192,"AÇÕES ESCRITURAIS - SERVFIDUC"
193,"LIQUIDAÇÃO BB-BI - SERVFIDUC"
194,"AÇÕES CUSTODIADAS - SERVFIDUC"
195,"RENDA FIXA PRIVADA - SERVFIDUC"
196,"TESOURO DIRETO - SERVFIDUC"
197,"SERV. FIDUCIÁRIOS - SERVFIDUC"
198,"ANÁLISE DE FATURAS"
199,"CAD. FDOS BB ASSET-SERVFIDUC "
200,"CONCILIAÇÃO FDOS - SERVFIDUC  "
201,"CONTRAT. SERV.FIDUC.-SERVFIDUC"
202,"INFORM.FDOS BB ASSET-SERVFIDUC"
203,"INFORMES CBIOS - SERVFIDUC"
204,"INFORMES GERENCIAIS- SERVFIDUC"
205,"INFORMES SELIC - SERVFIDUC"
207,"PGTOS FDOS BB ASSET- SERVFIDUC"
210,"TARIFA CUST. QUALIF.-SERVFIDUC"
212,"TARIFA ESCRITURAÇÃO-SERVFIDUC "
230,"PROJETOS - SERVFIDUC"
231,"INFORMES CETIP - SERVFIDUC"
232,"INFORMES LEGAIS -SERVFIDUC"
