CD_TIP_PRC,NM_TIP_PRC
3,"ACC EXPORTA«√O"
4,"ACE EXPORTA«√O"
5,"ACL - ANTECIPA«√O DE CR…DITO AO LOJISTA"
8,"AGRICULTURA ORG¬NICA CUSTEIO"
9,"AGRICULTURA ORG¬NICA INVESTIMENTO"
11,"APONT IND SUCROALCOLEIRO"
12,"AQUISI«√O DE BENS"
13,"CAPAG PF"
14,"ASSUN«√O RURAL"
15,"BANCO DA TERRA"
16,"BB CAPITAL DE GIRO PR…-FIXADO"
17,"BB CPR TETO"
18,"BB GIRO AUTOM¡TICO/CONTRATO ⁄NICO"
19,"BB GIRO CDI POS"
20,"BB GIRO FLEX"
21,"BB GIRO FLEX ESTRUTURADO"
22,"BB GIRO MIX PASEP"
23,"BB GIRO PASEP"
24,"BB GIRO R¡PIDO"
25,"BB GIRO R¡PIDO/CONTRATO ⁄NICO"
26,"BB ROYALTIES"
27,"BNDES CAPITAL DE GIRO"
28,"BNDES CREGE INVESTIMENTO"
29,"BNDES EXIM"
30,"BNDES MODERAGRO"
31,"BNDES MODERINFRA"
32,"BNDES PMAT"
33,"BNDES PRODEAGRO"
34,"BNDES PRODECOOP"
35,"BNDES PROMOB"
36,"BNDES PROPFLORA"
37,"BNDES RURAL"
40,"CAF ASSUN«√O DE DÕVIDAS"
41,"CAF CUSTEIO"
42,"CAF INVEST"
43,"CAF RENEG DÕVIDAS"
44,"CAPITAL DE GIRO"
46,"CART√O BNDES (VISA DISTRIBUI«√O)"
47,"CART√O EMPRESARIAL"
48,CDF
49,"CHEQUE OURO EMPRESARIAL"
50,"COMBATE PR CPR NPT"
51,"COMERCIALIZA«√O RURAL"
52,"CONTA GARANTIDA"
53,"COOPBENS AQUISI«√O BENS"
54,COOPERAGRO
55,COOPERFAT
56,"COOPINSUMOS AQUISI«√O INSUMOS"
57,"CR…DITO AGROINDUSTRIAL"
58,"CREDITO FUNDI¡RIO COMBATE PR"
59,"CUSTEIO AGRÕCOLA"
60,"CUSTEIO PECU¡RIO"
61,"DESCONTO DE NPR"
62,"DESCONTO DE TÕTULOS"
63,"DESCONTO DE CHEQUES"
64,EGF
65,"ESTOCAGEM DE ¡LCOOL"
66,"FAT FOMENTAR"
67,"FAT GIRO RURAL"
68,"FAT GIRO RURAL FORNECEDORES"
69,"FAT GIRO RURAL PROD RURAIS"
70,"FAT GIRO SETORIAL"
71,"FAT INTEGRAR EMPR"
72,"FCO EMPRESARIAL"
73,"FCO ESTOCAGEM"
74,"FCO RURAL"
75,"FINAME COM RECURSOS DE TERCEIROS"
76,"FINAME EMPRESARIAL"
77,"FINAME MODERFROTA"
78,"FINAME MODERINFRA"
79,"FINAME PROCAMINHONEIRO"
80,"FINAME PRODEAGRO"
81,"FINAME PROVIAS"
82,"FINAME RURAL"
83,"FINAME RURAL LINHA"
84,FINIMP
85,"FUNCAF… COLHEITA"
86,"FUNCAF… CUSTEIO"
87,"FUNCAF… ESTOCAGEM"
90,"INTEN«’ES DE NEG”CIOS"
91,"INVESTIMENTO AGRÕCOLA"
92,"INVESTIMENTO PECU¡RIO"
93,LEASING
94,"LEC COMERCIALIZA«√O"
96,"MOEDA VERDE CUSTEIO"
97,"MOEDA VERDE INVESTIMENTO"
106,"PRODU«√O AGROPECU¡RIA PROD PR”PRIA"
117,"PROGER EXPORTA«√O"
118,"PROGER RURAL INVEST"
119,"PROGER URBANO EMPRESARIAL"
120,"PROGER URBANO PROFISSIONAL LIBERAL"
122,"PRONAF AGRICULTOR FAMILIAR CUSTEIO"
123,"PRONAF AGRICULTOR FAMILIAR INVESTIMENTO"
124,"PRONAF AGROECOLOGIA"
125,"PRONAF AGROIND⁄STRIA CUSTEIO"
126,"PRONAF AGROIND⁄STRIA INVESTIMENTO"
127,"PRONAF CUSTEIO"
128,"PRONAF ECO"
129,"PRONAF FLORESTAL"
130,"PRONAF INVESTIMENTO"
131,"PRONAF MAIS ALIMENTOS"
132,"PRONAF MULHER"
133,"PRONAF PROGRAMAS ESPECIAIS"
134,"PRONAF RECUP UNIDADES FAMILIARES"
135,"PRONAF REFORMA AGR¡RIA"
136,"RENEGOCIA«√O RURAL - INVESTIMENTO"
137,"RENEGOCIA«√O RURAL - CUSTEIO"
138,PROSA⁄DE
139,"RECUPERA«√O DE LAVOURA DE CACAU"
141,VENDOR
209,"PRONAF REFORMA AGR¡RIA - PLANTA BRASIL- GRUPO A"
210,"ACL FUMA«A - RECEBÕVEIS CART√O A REALIZAR"
212,"REESCALONAMENTO MPE"
213,"ADITIVO RURAL"
214,"ADITIVO CREGE"
215,"PROGER URBANO EMPRESARIAL REFINANCIAMENTO"
216,"BB GIRO APL"
264,"REFINANCIAMENTO RURAL MCR 6.4"
265,"RENEGOCIA«√O RURAL LEI 11.775"
268,"CAPAG LEIL√O"
269,"RENEGOCIA«√O RURAL - PRONAF"
270,"REFINANCIAMENTO RURAL FCO"
271,"REFINANCIAMENTO RURAL FUNCAF…-CPR"
272,"REFINANCIAMENTO RURAL BNDES/FINAME"
273,"RENEGOCIA«√O DE DÕVIDAS PJ"
274,"CAPACIDADE DE PAGAMENTO ISOLADA"
275,"CAPACIDADE DE PAGAMENTO IMPLANTA«√O"
276,"FORMALIZA«√O ISOLADA"
277,"CDC CUSTOMIZADO"
278,"FORMALIZA«√O CPR"
280,"BB GIRO 13∫ SAL¡RIO"
281,"ASSUN«√O CREGE"
284,"ACE EXPORTA«√O"
289,"FINAME CAMINHOS DA ESCOLA"
290,"FINAME PROESCOLAR"
291,"BNDES PRONAF"
292,"BNDES AUTOM¡TICO AGROPECU¡RIO"
293,"BNDES PROG.MANUT.RECUP. EQUIP. AGRÕCOLA"
294,"BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS"
295,"BNDES PRODUSA"
296,"GIRO COM RECURSOS DO BNDES"
297,"BNDES CAPITAL DE GIRO PROGEREN"
298,"BNDES CAPITAL DE GIRO PEC"
314,"BNDES REVITALIZA"
485,"ACF - ANTECIPA«√O DE CONTRATO AO FORNECEDOR"
510,"BNDES CAPITAL DE GIRO"
511,"BNDES CREGE INVESTIMENTO"
512,"BNDES EXIM"
513,"BNDES MODERAGRO"
514,"BNDES MODERINFRA"
515,"BNDES PMAT"
516,"BNDES PRODEAGRO"
517,"BNDES PRODECOOP"
518,"BNDES PROMOB"
519,"BNDES PROPFLORA"
520,"BNDES RURAL"
521,"CART√O BNDES (VISA DISTRIBUI«√O)"
522,"REFINANCIAMENTO RURAL BNDES/FINAME"
523,"BNDES CAMINHOS DA ESCOLA"
524,"BNDES PRONAF"
525,"BNDES AUTOM¡TICO AGROPECU¡RIO"
527,"BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS"
529,"GIRO COM RECURSOS DO BNDES"
530,"BNDES CAPITAL DE GIRO PROGEREN"
531,"BNDES CAPITAL DE GIRO PEC"
532,"BNDES REVITALIZA"
534,"FINAME CREGE"
535,"FINAME MODERFROTA"
536,"FINAME MODERINFRA"
537,"FINAME PROCAMINHONEIRO"
539,"FINAME PROVIAS"
540,"FINAME RURAL"
541,"FINAME RURAL LINHA"
543,"FINAME PROESCOLAR"
545,"FINAME MODERFROTA REVENDA"
1203,"DESCONTO DE TÕTULO FICHA SISBB"
1204,"DESCONTO DE CHEQUES FICHA SISBB"
1205,"ACL FICHA SISBB"
1206,"DESCONTO DE RECEBÕVEIS A REALIZAR FICHA SISBB"
1207,"BB GIRO MIX PASEP FICHA SISBB"
1208,"BB GIRO AUTOM¡TICO FICHA SISBB"
1209,"BB GIRO R¡PIDO FICHA SISBB"
1210,"CHEQUE OURO EMPRESARIAL FICHA SISBB"
1211,"CONTRATO ⁄NICO FICHA SISBB"
1212,"BB CAPITAL DE GIRO PR…-FIXADO FICHA SISBB"
1337,"BNDES PROCER"
1338,"BNDES PROCER"
1343,"PROGER RURAL CUSTEIO"
1370,"FINAME RURAL PSI"
1371,"FINAME RURAL PSI"
1459,"BB GIRO R¡PIDO"
1479,"CART√O BNDES (VISA DISTRIBUI«√O)"
1509,"FINAME CREGE"
1510,"FINAME MODERFROTA"
1512,"FINAME PROCAMINHONEIRO"
1515,"FINAME RURAL"
1535,"PROGER URBANO EMPRESARIAL"
1562,"ADITIVO CREGE"
1585,"BNDES CAPITAL DE GIRO PEC"
1586,"BNDES REVITALIZA"
1591,"DESCONTO DE CHEQUES FICHA SISBB"
1597,"CHEQUE OURO EMPRESARIAL FICHA SISBB"
1602,"FINAME RURAL PSI"
1603,"BB CREDITO PARCELA UNICA  "
1609,"ELABORAR PL"
1610,"ELABORAR PL"
1617,"ELABORAR FRO"
1618,"ELABORAR ADITIVO ¿ FRO"
1653,"FINAME - PROVIAS"
1680,"FINAME EMPRESARIAL PSI"
1737,"FAT TAXISTA"
1738,"FINAME EMPRESARIAL PSI CONVENCIONAL"
1739,"FINAME PROCAMINHONEIRO CONVENCIONAL"
1740,"BNDES PROCAP AGRO"
1810,"FCO CAPITAL DE GIRO"
1843,"BB GIRO RECEBIVEIS"
1976,"CUSTEIO AGRÕCOLA - RISCO CONVENIADA"
1977,"COOPINSUMOS - RISCO CONVENIADA"
2028,"FUNCAF… DA«√O - LEI 11.775"
2101,"CR…DITO AGROINDUSTRIAL RISCO CONVENIADA"
2104,"CUSTEIO AGRÕCOLA - PRONAMP"
2105,"CUSTEIO PECU¡RIO - PRONAMP"
2106,"FCO PRONAMP INVESTIMENTO AGRICOLA"
2107,"FCO PRONAMP INVESTIMENTO PECU¡RIO"
2108,"PRONAMP INVESTIMENTO AGRICOLA"
2109,"PRONAMP INVESTIMENTO PECU¡RIO"
2110,"FEAP - FINANCIAMENTO"
2123,"BB GIRO FLEX - FORNECEDOR ESTADO DE S√O PAULO"
2131,"AJUSTE PENHOR BNC"
2177,"SEC/PESA - ASSUN«√O"
2178,"SEC/PESA - LIBERA«√O/SUBSTITUI«√O DE GARANTIAS"
2208,"BB CREDITO EMPRESA"
2272,"PRONAF MAIS ALIMENTOS RISCO CONVENIADA"
2281,"COMANDOS ESCAI"
2287,"ADIANTAMENTO DE CONTRATO A FORNECEDOR"
2293,"CAF ASSUN«√O DE DÕVIDAS"
2294,"RENEGOCIA«√O RURAL - RISCO H OU PERDAS"
2317,"COMANDOS ESCAI RENEGOCIA«’ES / AJUSTES"
2320,"MCR 6.4 - MODERAGRO"
2321,"MCR 6.4 - ABC"
2322,"MCR 6.4 - PRODECOOP"
2323,"MCR 6.4 - PROCAP-AGRO"
