Ranking IDHM 2010,Município,UF,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
1 º,SAO CAETANO DO SUL,SP,0.862,0.891,0.887,0.811
2 º,AGUAS DE SAO PEDRO,SP,0.854,0.849,0.89,0.825
3 º,FLORIANOPOLIS,SC,0.847,0.87,0.873,0.8
4 º,BALNEARIO CAMBORIU,SC,0.845,0.854,0.894,0.789
4 º,VITORIA,ES,0.845,0.876,0.855,0.805
6 º,SANTOS,SP,0.84,0.861,0.852,0.807
7 º,NITEROI,RJ,0.837,0.887,0.854,0.773
8 º,JOACABA,SC,0.827,0.823,0.891,0.771
9 º,BRASILIA,DF,0.824,0.863,0.873,0.742
10 º,CURITIBA,PR,0.823,0.85,0.855,0.768
11 º,JUNDIAI,SP,0.822,0.834,0.866,0.768
12 º,VALINHOS,SP,0.819,0.848,0.85,0.763
13 º,VINHEDO,SP,0.817,0.84,0.878,0.739
14 º,SANTO ANDRE,SP,0.815,0.819,0.861,0.769
14 º,ARARAQUARA,SP,0.815,0.788,0.877,0.782
16 º,SANTANA DE PARNAIBA,SP,0.814,0.876,0.849,0.725
17 º,NOVA LIMA,MG,0.813,0.864,0.885,0.704
18 º,ILHA SOLTEIRA,SP,0.812,0.786,0.871,0.782
19 º,AMERICANA,SP,0.811,0.8,0.876,0.76
20 º,BELO HORIZONTE,MG,0.81,0.841,0.856,0.737
21 º,SAO JOSE,SC,0.809,0.799,0.88,0.752
21 º,JOINVILLE,SC,0.809,0.795,0.889,0.749
23 º,MARINGA,PR,0.808,0.806,0.852,0.768
24 º,SAO JOSE DOS CAMPOS,SP,0.807,0.804,0.855,0.764
25 º,BLUMENAU,SC,0.806,0.812,0.894,0.722
25 º,PRESIDENTE PRUDENTE,SP,0.806,0.788,0.858,0.774
25 º,RIO FORTUNA,SC,0.806,0.848,0.85,0.727
28 º,SAO PAULO,SP,0.805,0.843,0.855,0.725
28 º,ASSIS,SP,0.805,0.771,0.865,0.781
28 º,CAMPINAS,SP,0.805,0.829,0.86,0.731
28 º,SAO BERNARDO DO CAMPO,SP,0.805,0.807,0.861,0.752
28 º,PORTO ALEGRE,RS,0.805,0.867,0.857,0.702
28 º,SAO CARLOS,SP,0.805,0.788,0.863,0.766
34 º,RIO CLARO,SP,0.803,0.784,0.862,0.766
34 º,JARAGUA DO SUL,SC,0.803,0.793,0.865,0.755
36 º,RIO DO SUL,SC,0.802,0.793,0.894,0.727
37 º,BAURU,SP,0.801,0.8,0.854,0.752
37 º,SAO MIGUEL DO OESTE,SC,0.801,0.787,0.884,0.739
37 º,PIRASSUNUNGA,SP,0.801,0.789,0.884,0.736
40 º,CONCORDIA,SC,0.8,0.777,0.872,0.756
40 º,VILA VELHA,ES,0.8,0.807,0.864,0.734
40 º,TAUBATE,SP,0.8,0.778,0.883,0.746
40 º,RIBEIRAO PRETO,SP,0.8,0.82,0.844,0.739
40 º,BOTUCATU,SP,0.8,0.79,0.869,0.746
45 º,GOIANIA,GO,0.799,0.824,0.838,0.739
45 º,RIO DE JANEIRO,RJ,0.799,0.84,0.845,0.719
47 º,MARILIA,SP,0.798,0.768,0.854,0.776
47 º,SOROCABA,SP,0.798,0.792,0.843,0.762
47 º,GUARATINGUETA,SP,0.798,0.764,0.886,0.751
50 º,SAO JOAO DA BOA VISTA,SP,0.797,0.776,0.871,0.749
50 º,SAO JOSE DO RIO PRETO,SP,0.797,0.801,0.846,0.748
50 º,FERNANDOPOLIS,SP,0.797,0.767,0.872,0.758
53 º,ITAPEMA,SC,0.796,0.788,0.881,0.727
53 º,TUBARAO,SC,0.796,0.788,0.866,0.74
