CD_MUN_UOR;Cod IBGE
5488;1100015
9560;1100023
17685;1100031
18355;1100049
24795;1100056
26245;1100064
28295;1100072
28422;1100080
33078;1100098
38150;1100106
49020;1100114
49355;1100122
54392;1100130
62254;1100148
64355;1100155
69915;1100189
73400;1100205
74165;1100254
78210;1100288
80568;1100296
98703;1100304
86725;1100320
62664;1100338
6097;1100346
5773;1100403
17501;1100452
63162;1100502
17915;1100601
20485;1100700
21045;1100809
25270;1100924
37483;1101005
58340;1101203
58707;1101302
59735;1101401
83985;1101492
89055;1101500
96635;1101708
3485;1200013
10003;1200054
16570;1200104
21975;1200179
29400;1200203
32707;1200252
34170;1200302
55115;1200336
71520;1200385
77100;1200401
78125;1200427
88755;1200450
88690;1200500
92410;1200609
99580;1200708
10360;1300300
11720;1300409
13990;1300607
14870;1300706
16080;1300805
22410;1301001
25810;1301209
31960;1301407
39900;1301704
44500;1301902
51410;1302405
55050;1302504
55100;1302603
55380;1302702
57560;1302900
66700;1303403
74110;1303536
84155;1303809
91200;1304062
92800;1304203
5583;1400050
14650;1400100
21478;1400175
22090;1400209
43569;1400282
60675;1400308
64490;1400456
78385;1400472
84555;1400506
3080;1500107
3320;1500206
3790;1500305
5150;1500404
5370;1500503
5500;1500602
6790;1500800
10240;1500909
10339;1500958
10880;1501204
11700;1501303
13600;1501402
13920;1501501
15513;1501576
16400;1501709
16550;1501725
16947;1501782
16950;1501808
19720;1502103
20787;1502152
21630;1502202
21930;1502301
23660;1502400
26390;1502707
29890;1502772
31212;1502939
34925;1503044
37190;1503093
39420;1503101
41620;1503200
41640;1503309
43295;1503457
44010;1503507
44900;1503606
47150;1503705
47880;1503804
50950;1503903
54635;1504059
55600;1504208
55830;1504406
56652;1504422
57695;1504455
58880;1504604
59140;1504703
99999;1504752
59420;1504802
62880;1505007
63210;1505031
63213;1505064
63300;1505106
63880;1505304
65875;1505502
66582;1505536
72830;1505809
73180;1505908
75650;1506138
77453;1506161
78320;1506187
79080;1506203
80390;1506500
80713;1506609
81560;1506708
81900;1506807
82880;1507003
83655;1507151
83670;1507201
83780;1507300
84040;1507409
84226;1507458
86720;1507607
87450;1507706
90770;1507904
91485;1507953
93960;1508001
94925;1508084
94960;1508100
95905;1508126
96415;1508159
98240;1508209
98820;1508308
99677;1508407
6240;1600105
6252;1600154
52527;1600279
54250;1600303
63360;1600501
73120;1600535
81480;1600600
5325;1700350
6075;1700707
6785;1701002
8370;1702000
8400;1702109
8460;1702208
8670;1702307
9700;1702406
10235;1702554
26145;1705508
26258;1705557
28890;1706100
30770;1707009
31010;1707108
34692;1707652
34693;1707702
35296;1708205
37290;1709005
38605;1709302
39450;1709500
51645;1711902
58400;1713205
58675;1713304
62725;1714880
65375;1715754
66055;1716109
66160;1716208
68460;1716505
68640;1716604
26148;1716703
73200;1718204
80183;1718865
89990;1720655
90380;1720804
91460;1720903
65101;1721000
93800;1721208
99470;1722107
3290;2100055
4850;2100204
4940;2100303
6320;2100600
8470;2100907
10547;2101103
10650;2101202
10710;2101301
11140;2101400
11550;2101509
11960;2101608
12540;2101707
14090;2101905
15225;2102002
16750;2102101
17400;2102200
17460;2102309
17487;2102325
18940;2102507
21520;2102705
23150;2102804
23340;2102903
24450;2103000
25070;2103208
25950;2103307
25980;2103406
26140;2103505
27670;2103604
30160;2103703
31310;2103802
33050;2104008
33425;2104057
35380;2104107
37350;2104404
37480;2104602
37525;2104677
37600;2104800
39290;2104909
39920;2105005
41630;2105203
42250;2105302
45650;2105401
46805;2105427
49600;2105500
51520;2105708
51516;2105807
51525;2105948
53220;2106003
53700;2106102
57340;2106508
57430;2106607
58430;2106706
58605;2106755
58800;2106805
59180;2106904
60450;2107100
62727;2107357
63510;2107407
64530;2107506
65940;2107704
66850;2107803
67010;2107902
67240;2108009
67850;2108108
68400;2108207
69200;2108454
70050;2108504
70300;2108603
70450;2108702
71720;2108900
73090;2109007
74080;2109106
74135;2109205
74240;2109270
76100;2109502
78440;2109601
80290;2109809
80320;2109908
80500;2110005
80900;2110203
82070;2110278
82640;2110302
83220;2110500
83330;2110609
83680;2110708
84020;2110906
84570;2111003
84950;2111102
85875;2111201
86250;2111300
86330;2111409
86620;2111508
87210;2111607
92520;2112001
93540;2112100
93600;2112209
94840;2112233
95090;2112308
95510;2112506
97150;2112704
98010;2112803
99030;2112902
99100;2113009
99856;2114007
3900;2200202
5720;2200301
5940;2200400
6310;2200509
7160;2200608
12460;2201200
13040;2201507
15300;2201903
17480;2202000
20400;2202208
21530;2202307
23720;2202604
25840;2202703
26190;2202752
28150;2202901
28990;2203107
29870;2203206
30430;2203305
31990;2203503
33040;2203701
35000;2203909
35630;2204204
35890;2204303
36920;2204402
37910;2204501
42790;2204709
46690;2205102
48220;2205201
49740;2205409
49920;2205508
53870;2205706
54100;2205805
58050;2206209
63340;2207009
65280;2207504
66800;2207702
67720;2207801
68440;2207900
69650;2208007
69930;2208106
70440;2208205
70700;2208304
71250;2208403
72850;2208502
75740;2208809
76780;2208908
79980;2209104
85000;2210003
86870;2210409
87110;2210508
87220;2210607
90120;2210706
90170;2210805
93000;2211001
96150;2211100
96500;2211209
96960;2211308
3350;2300200
3450;2300309
4590;2300408
6590;2300754
7460;2300804
