CODIGO DO MUNICIPIO - TOM;CODIGO DO MUNICIPIO - IBGE;MUNICIPIO - TOM;municipio - IBGE;UF
1;1100106;GUAJARA-MIRIM;Guajara-Mirim;RO
2;1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre Dos Parecis;RO
3;1100205;PORTO VELHO;Porto Velho;RO
4;1100452;BURITIS;Buritis;RO
5;1100122;JI-PARANA;Ji-Parana;RO
6;1100924;CHUPINGUAIA;Chupinguaia;RO
7;1100023;ARIQUEMES;Ariquemes;RO
8;1100940;CUJUBIM;Cujubim;RO
9;1100049;CACOAL;Cacoal;RO
10;1101435;NOVA UNIAO;Nova Uniao;RO
11;1100189;PIMENTA BUENO;Pimenta Bueno;RO
12;1101450;PARECIS;Parecis;RO
13;1100304;VILHENA;Vilhena;RO
14;1101468;PIMENTEIRAS DO OESTE;Pimenteiras Do Oeste;RO
15;1100114;JARU;Jaru;RO
16;1101476;PRIMAVERA DE RONDONIA;Primavera De Rondonia;RO
17;1100155;OURO PRETO DO OESTE;Ouro Preto Do Oeste;RO
18;1101484;SAO FELIPE D'OESTE;Sao Felipe D'Oeste;RO
19;1100254;PRESIDENTE MEDICI;Presidente Medici;RO
20;1101492;SAO FRANCISCO DO GUAPORE;Sao Francisco Do Guapore;RO
21;1100080;COSTA MARQUES;Costa Marques;RO
22;1101559;TEIXEIROPOLIS;Teixeiropolis;RO
23;1100064;COLORADO DO OESTE;Colorado Do Oeste;RO
24;1101757;VALE DO ANARI;Vale Do Anari;RO
25;1100098;ESPIGAO D'OESTE;Espigao D'Oeste;RO
26;1400027;AMAJARI;Amajari;RR
27;1100056;CEREJEIRAS;Cerejeiras;RO
28;1400175;CANTA;Canta;RR
29;1100288;ROLIM DE MOURA;Rolim De Moura;RO
30;1400233;CAROEBE;Caroebe;RR
31;5204557;CALDAZINHA;Caldazinha;GO
32;1400282;IRACEMA;Iracema;RR
33;1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO
34;1400456;PACARAIMA;Pacaraima;RR
35;1100346;ALVORADA D'OESTE;Alvorada D'Oeste;RO
36;1400472;RORAINOPOLIS;Rorainopolis;RR
37;1100031;CABIXI;Cabixi;RO
38;1400704;UIRAMUTA;Uiramuta;RR
39;1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;RO
40;1500859;ANAPU;Anapu;PA
41;1100148;NOVA BRASILANDIA D'OESTE;Nova Brasilandia D'Oeste;RO
42;1501253;BANNACH;Bannach;PA
43;1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;RO
44;1501451;BELTERRA;Belterra;PA
45;1100320;SAO MIGUEL DO GUAPORE;Sao Miguel Do Guapore;RO
46;1501956;CACHOEIRA DO PIRIA;Cachoeira Do Piria;PA
47;1100338;NOVA MAMORE;Nova Mamore;RO
48;1502152;CANAA DOS CARAJAS;Canaa Dos Carajas;PA
49;5212055;JESUPOLIS;Jesupolis;GO
50;1502855;CURUA;Curua;PA
51;5218391;PROFESSOR JAMIL;Professor Jamil;GO
